Timestamp,LOSindex,Distance,RWS,DRWS,CNR,Tilt,Roll,RWSStatus,OverrunStatus
2020-09-03T19:15:14.547+00:00,3,178,4.22,1.18,-4.64,5.03,-0.02,1,1
2020-09-03T19:15:18.547+00:00,3,178,3.82,1.32,-4.07,5,-0.01,1,1
2020-09-03T19:15:22.547+00:00,3,178,4.09,1.46,-4.26,4.96,0.02,1,1
2020-09-03T19:15:26.546+00:00,3,178,4.05,1.22,-4.22,4.99,-0.08,1,1
2020-09-03T19:15:30.547+00:00,3,178,4.52,1.3,-4.48,5.01,-0.05,1,1
2020-09-03T19:15:34.546+00:00,3,178,3.98,1.32,-4.77,4.97,0.02,1,1
2020-09-03T19:15:38.546+00:00,3,178,3.98,1.13,-4.89,4.99,0,1,1
2020-09-03T19:15:42.547+00:00,3,178,4.48,1.15,-5.09,5,0.01,1,1
2020-09-03T19:15:46.546+00:00,3,178,4.62,1.18,-5.02,5.02,-0.03,1,1
2020-09-03T19:15:50.547+00:00,3,178,4.22,1.2,-4.78,5.04,-0.03,1,1
2020-09-03T19:15:54.547+00:00,3,178,1.99,1.15,-5.06,4.99,-0.01,1,1
2020-09-03T19:15:58.547+00:00,3,178,2.95,1.08,-5.12,5.03,-0.05,1,1
2020-09-03T19:16:02.547+00:00,3,178,3.3,1.22,-5.02,5.03,0,1,1
2020-09-03T19:16:06.546+00:00,3,178,3.55,1.27,-5.02,4.97,0,1,1
2020-09-03T19:16:10.547+00:00,3,178,4.55,1.15,-4.54,4.94,-0.05,1,1
2020-09-03T19:16:14.547+00:00,3,178,3.9,1.41,-5.18,5.02,-0.01,1,1
2020-09-03T19:16:18.547+00:00,3,178,4.3,1.27,-4.31,5.02,-0.02,1,1
2020-09-03T19:16:22.546+00:00,3,178,3.17,1.15,-4.47,4.99,0,1,1
2020-09-03T19:16:26.547+00:00,3,178,4.23,1.22,-4.6,4.97,0.02,1,1
2020-09-03T19:16:30.547+00:00,3,178,5.01,1.32,-4.3,5.05,-0.05,1,1
2020-09-03T19:16:34.547+00:00,3,178,5.09,1.36,-4.21,5,-0.03,1,1
2020-09-03T19:16:38.547+00:00,3,178,5.64,1.15,-3.97,4.97,-0.02,1,1
2020-09-03T19:16:42.547+00:00,3,178,4.32,1.36,-4.3,4.98,-0.01,1,1
2020-09-03T19:16:46.547+00:00,3,178,3.71,1.15,-4.34,4.93,0.03,1,1
2020-09-03T19:16:50.546+00:00,3,178,5.12,1.13,-4.25,4.95,0.04,1,1
2020-09-03T19:16:54.546+00:00,3,178,3.87,1.32,-3.86,5.06,-0.04,1,1
2020-09-03T19:16:58.547+00:00,3,178,4.41,1.22,-3.62,5.02,-0.02,1,1
2020-09-03T19:17:02.547+00:00,3,178,4.02,1.19,-3.84,5.01,0.01,1,1
2020-09-03T19:17:06.547+00:00,3,178,3.67,1.27,-3.82,5.04,-0.05,1,1
2020-09-03T19:17:10.548+00:00,3,178,3.09,1.22,-4.17,4.93,0,1,0
2020-09-03T19:17:14.547+00:00,3,178,3.03,1.32,-4.12,4.97,-0.04,1,1
2020-09-03T19:17:18.546+00:00,3,178,2.52,1.18,-2.46,4.99,-0.03,1,1
2020-09-03T19:17:22.546+00:00,3,178,2.86,1.15,-2.7,5.02,-0.03,1,1
2020-09-03T19:17:26.547+00:00,3,178,3.04,1.53,-3.07,5.01,0,1,1
2020-09-03T19:17:30.546+00:00,3,178,3.25,1.22,-2.53,5.01,0.02,1,1
2020-09-03T19:17:34.547+00:00,3,178,3.38,1.13,-2.84,5.01,-0.01,1,1
2020-09-03T19:17:38.547+00:00,3,178,3.54,1.22,-2.91,5,0,1,1
2020-09-03T19:17:42.547+00:00,3,178,3.47,1.15,-3,5,-0.05,1,1
2020-09-03T19:17:46.547+00:00,3,178,3.67,1.26,-3.59,5.02,0.01,1,1
2020-09-03T19:17:50.547+00:00,3,178,4.63,1.15,-2.67,5.01,-0.01,1,1
2020-09-03T19:17:54.547+00:00,3,178,4.93,1.2,-3.69,5.02,0.01,1,1
2020-09-03T19:17:58.547+00:00,3,178,5.72,1.64,-3.58,5.01,-0.02,1,1
2020-09-03T19:18:02.547+00:00,3,178,4.64,1.48,-3.61,5,-0.06,1,1
2020-09-03T19:18:06.547+00:00,3,178,4.34,1.3,-3.43,5,-0.02,1,1
2020-09-03T19:18:10.546+00:00,3,178,3.75,1.15,-2.9,4.98,0.02,1,1
2020-09-03T19:18:14.547+00:00,3,178,2.57,1.22,-3.39,5.04,-0.02,1,1
2020-09-03T19:18:18.547+00:00,3,178,2.74,1.13,-2.93,5,0.02,1,1
2020-09-03T19:18:22.547+00:00,3,178,2.9,1.13,-3.41,4.99,0.02,1,1
2020-09-03T19:18:26.546+00:00,3,178,2.71,1.13,-3.35,5,-0.04,1,1
